,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
10727,4155776,2017,2017,1967,PRIVATE,6,York Centre,35 CEDARCROFT BLVD,13,207,2017-11-01,60,Evaluation needs to be conducted in 1 year,19,3,3,3,3,3,3,3,3,3,,2,3,4,3,3,3,3,3,3,3,N0622,43.7827450557,-79.4483048718,308945.574,4848976.441
7678,4155776,2017,2018,1967,PRIVATE,6,York Centre,35 CEDARCROFT BLVD,13,207,2019-01-18,77,Evaluation needs to be conducted in 2 years,19,3,3,3,4,3,5,4,3,5,,4,4,5,4,4,4,4,3,4,4,N0622,43.7827450557,-79.4483048718,308945.574,4848976.441
4729,4155776,2017,2020,1967,PRIVATE,6,York Centre,35 CEDARCROFT BLVD,13,207,2020-10-28,71,Evaluation needs to be conducted in 2 years,19,3,4,5,2,3,3,3,4,5,,3,4,5,3,3,3,3,4,3,4,N0622,43.7827450557,-79.4483048718,308945.574,4848976.441
1098,4155776,2017,,1967,PRIVATE,6,York Centre,35 CEDARCROFT BLVD,13,207,2022-11-08,67,Evaluation needs to be conducted in 2 years,19,3,3,5,3,3,3,3,4,4,,3,3,3,3,4,3,3,4,3,4,N0622,43.7827450557,-79.4483048718,308945.574,4848976.441
10813,4155778,2017,2017,1966,PRIVATE,18,Willowdale,775 STEELES AVE W,16,194,2017-10-30,59,Evaluation needs to be conducted in 1 year,18,3,3,3,3,3,3,3,3,3,,3,3,3,4,3,2,2,4,2,,N1821,43.791794206,-79.443484145,309332.622,4849982.993
7562,4155778,2017,2018,1966,PRIVATE,18,Willowdale,775 STEELES AVE W,16,194,2019-01-24,64,Evaluation needs to be conducted in 1 year,20,3,3,3,3,3,4,3,3,4,3,3,4,4,3,3,3,3,3,2,4,N1821,43.791794206,-79.443484145,309332.622,4849982.993
1197,4155778,2017,,1966,PRIVATE,18,Willowdale,775 STEELES AVE W,16,194,2022-11-02,93,Evaluation needs to be conducted in 3 years,19,5,5,5,3,5,4,5,5,5,5,4,5,5,5,5,5,5,4,3,,N1821,43.791794206,-79.443484145,309332.622,4849982.993
10519,4155779,2017,2017,2007,PRIVATE,3,Etobicoke-Lakeshore,11 DUNBLOOR RD,22,278,2017-11-06,80,Evaluation needs to be conducted in 2 years,18,5,4,4,4,,3,4,4,4,,3,3,5,4,4,4,5,4,4,4,W0321,43.643657419,-79.532835392,302143.383,4833527.263
6376,4155779,2017,2019,2007,PRIVATE,3,Etobicoke-Lakeshore,11 DUNBLOOR RD,22,278,2019-10-29,96,Evaluation needs to be conducted in 3 years,19,5,5,4,5,,5,5,4,5,5,5,4,5,5,5,5,5,5,4,5,W0321,43.643657419,-79.532835392,302143.383,4833527.263
186,4155779,2017,,2007,PRIVATE,3,Etobicoke-Lakeshore,11 DUNBLOOR RD,22,278,2022-12-20,98,Evaluation needs to be conducted in 3 years,20,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,W0321,43.643657419,-79.532835392,302143.383,4833527.263
