Fri Jan 09 2026 10:22:25 GMT-0500 (Eastern Standard Time) - Run Time: 2826ms

Cross Tabulation Query Form - Trip - 2022

Row: 2022 TTS zone of destination - tts22_dest
Column: Primary travel mode of trip - mode_prime


Filters:
Regional municipality of household - region_hhld In 1

Trip 2022 
Table: 

,Transit excluding GO rail,Cycle,Auto driver,E-scooter,GO rail only,Joint GO rail and local transit,Motorcycle,Other,Auto passenger,School bus,Taxi passenger,Paid rideshare,Walk
1287,2047,349,1823,74,0,0,0,0,535,0,0,0,1616
1288,665,234,1525,0,0,0,0,0,501,110,11,14,1353
1289,1283,758,1918,0,0,0,15,0,737,37,0,24,3837
1290,1607,529,2096,0,0,0,0,0,762,7,4,93,2514
1291,884,336,1534,0,0,0,0,0,409,45,3,39,2103
1292,1082,149,1327,19,8,0,25,90,338,71,80,35,1982
1293,2829,852,5446,0,63,0,15,106,1312,110,111,505,6573
1294,1898,261,2680,0,0,43,62,0,868,0,89,195,3917
1295,1953,1069,3331,0,0,24,0,0,1242,81,54,129,5416
1296,1056,1125,4399,61,0,0,55,4,1326,57,178,62,4552
1297,1439,400,1683,0,0,0,0,0,588,64,5,131,3876
1298,2656,841,2204,27,0,11,25,31,626,0,78,453,2907
1299,1701,534,1705,27,0,0,18,0,426,68,12,53,3636
1300,2743,353,2204,0,5,11,0,13,571,10,55,0,2706
1301,3714,940,5240,35,0,29,0,11,1472,79,17,134,6489
1302,350,121,2091,0,0,0,0,0,603,57,0,47,487
1303,223,232,2766,0,0,0,0,16,1027,19,30,76,586
1304,1792,374,5920,0,31,20,26,0,1239,243,27,163,1847
1305,522,55,5363,0,27,0,0,0,964,0,32,234,1685
1306,1414,395,3979,0,78,19,0,45,848,75,27,0,1458
1307,1240,195,6428,22,166,69,18,0,2048,714,40,123,4186
1308,1149,311,5617,0,257,64,0,18,1014,110,0,187,1328
1309,279,156,1667,0,10,22,80,0,321,8,9,99,349
1310,1960,509,6295,0,52,21,79,0,1577,120,62,0,2610
1311,1308,269,2324,0,0,17,0,0,549,12,62,29,900
1312,47,0,369,0,0,0,0,0,275,0,0,0,29
